datetime,action,ticker,price,qty,amount,entry_price,hold_days,realized_pnl,realized_pnl_pct,fee_paid,tax_paid,reason,stage1_prob,stage2_prob
2026-04-01 00:00:00,BUY,007390,17850.0,560,9996000,,,,,1499,,,0.618332783583868,0.8112244897959183
2026-04-01 00:00:00,BUY,047040,19430.0,514,9987020,,,,,1498,,,0.6150006685667067,0.76
2026-04-01 00:00:00,BUY,010170,9410.0,1062,9993420,,,,,1499,,,0.6149501286921619,0.6851441241685144
2026-04-02 00:00:00,SELL,047040,16440.0,514,8450160,19430.0,2,-1536860,-0.153886,1268,12675,stoploss,0.6150006685667067,0.76
2026-04-02 00:00:00,BUY,050890,15070.0,656,9885920,,,,,1483,,,0.6265278896855206,0.7489123679303915
2026-04-06 00:00:00,BUY,319400,26000.0,395,10270000,,,,,1540,,,0.626672382919137,0.8256578947368421
2026-04-06 00:00:00,BUY,361610,21800.0,471,10267800,,,,,1540,,,0.6242038640216511,0.8256578947368421
2026-04-06 00:00:00,BUY,222080,11740.0,874,10260760,,,,,1539,,,0.6319807873950671,0.8112244897959183
2026-04-07 00:00:00,SELL,007390,17280.0,560,9676800,17850.0,5,-319200,-0.031933,1452,14515,trend_exit,0.618332783583868,0.8112244897959183
2026-04-07 00:00:00,BUY,006360,28800.0,350,10080000,,,,,1512,,,0.6193185451735957,0.7489123679303915
2026-04-08 00:00:00,BUY,048410,14300.0,762,10896600,,,,,1634,,,0.6294375910118539,0.8256578947368421
2026-04-08 00:00:00,BUY,098460,28350.0,384,10886400,,,,,1633,,,0.6013145492245657,0.8256578947368421
2026-04-08 00:00:00,BUY,281740,20150.0,540,10881000,,,,,1632,,,0.6022553645024992,0.8256578947368421
2026-04-09 00:00:00,SELL,050890,14220.0,656,9328320,15070.0,6,-557600,-0.056403,1399,13992,trend_exit,0.6265278896855206,0.7489123679303915
2026-04-09 00:00:00,BUY,030000,19140.0,556,10641840,,,,,1596,,,0.6118999622712827,0.8256578947368421
2026-04-14 00:00:00,SELL,048410,13140.0,762,10012680,14300.0,5,-883920,-0.081119,1502,15019,stoploss,0.6294375910118539,0.8256578947368421
2026-04-20 00:00:00,SELL,010170,15190.0,1062,16131780,9410.0,14,6138360,0.61424,2420,24198,trend_exit,0.6149501286921619,0.6851441241685144
2026-04-22 00:00:00,SELL,319400,30200.0,395,11929000,26000.0,13,1659000,0.161538,1789,17894,trend_exit,0.626672382919137,0.8256578947368421
2026-04-27 16:02:41,SELL,006360,40750.0,350,14262500,28800.0,15,4182500,0.414931,2139,21394,trend_exit,0.6193185451735957,0.7489123679303915
2026-04-27 16:02:42,BUY,277810,669000.0,18,12042000,,,,,1806,,,0.6156989035824969,0.6112469437652812
